zip_code_prefix,latitude,longitude,city,state
1037,-23.54562128115268,-46.63929204800168,"sao paulo",SP
1046,-23.54608112703553,-46.64482029837157,"sao paulo",SP
1041,-23.5443921648681,-46.63949930627844,"sao paulo",SP
1035,-23.541577961711493,-46.64160722329613,"sao paulo",SP
1012,-23.547762303364262,-46.63536053788448,"são paulo",SP
1047,-23.54627311241268,-46.64122516971552,"sao paulo",SP
1013,-23.546923208436723,-46.6342636964915,"sao paulo",SP
1029,-23.543769055769133,-46.63427784085132,"sao paulo",SP
1011,-23.547639550320632,-46.63603162315495,"sao paulo",SP
1032,-23.53841810407414,-46.634778375266734,"sao paulo",SP
1014,-23.546435343326205,-46.63383023397196,"sao paulo",SP
1012,-23.548945985189437,-46.63467113292871,"sao paulo",SP
1037,-23.54518734081604,-46.63785524104107,"são paulo",SP
1039,-23.54188300998332,-46.63991946670314,"sao paulo",SP
1024,-23.541389521053937,-46.62989908781218,"são paulo",SP
1009,-23.54693540437998,-46.63658792659698,"sao paulo",SP
1020,-23.55223547100232,-46.6284406588955,"são paulo",SP
1011,-23.546690486964888,-46.6354469588072,"são paulo",SP
1043,-23.546656718016017,-46.64078762115524,"são paulo",SP
1050,-23.549773516504185,-46.64559900666509,"sao paulo",SP
1045,-23.541593762969622,-46.64189378810082,"sao paulo",SP
1007,-23.550392524842728,-46.63730164071784,"sao paulo",SP
1032,-23.5398418758395,-46.63514797691531,"são paulo",SP
1005,-23.549819091869107,-46.63560588995324,"sao paulo",SP
1017,-23.55001091199737,-46.63116636914989,"são paulo",SP
1019,-23.552151883432384,-46.63080224715792,"sao paulo",SP
1017,-23.5492954052167,-46.63207469510652,"sao paulo",SP
1027,-23.538301166801343,-46.63076391104508,"sao paulo",SP
1033,-23.54032130474925,-46.636394815973325,"sao paulo",SP
1020,-23.552549496537548,-46.63163152553523,"sao paulo",SP
1006,-23.55052430835593,-46.63669363835193,"sao paulo",SP
1034,-23.54239162719593,-46.63770927785183,"sao paulo",SP
1042,-23.54487359810152,-46.64030309449483,"sao paulo",SP
1046,-23.54638197224308,-46.642893706619056,"são paulo",SP
1040,-23.540316757429707,-46.63735536871719,"sao paulo",SP
1026,-23.539494799586286,-46.63284391414975,"são paulo",SP
1036,-23.541700023861782,-46.64131782056096,"sao paulo",SP
1047,-23.546774768769357,-46.64251431141433,"são paulo",SP
1048,-23.547448918662464,-46.64016924063704,"são paulo",SP
1002,-23.54831797807146,-46.63542110199666,"sao paulo",SP
1048,-23.547052131282804,-46.639477959749584,"sao paulo",SP
1031,-23.536864121011018,-46.63349313820771,"sao paulo",SP
1022,-23.54498660505508,-46.63345367485142,"sao paulo",SP
1008,-23.54425493154535,-46.634639135589296,"sao paulo",SP
1010,-23.547806958346342,-46.63612181853806,"sao paulo",SP
1003,-23.54903244546711,-46.63531311226845,"sao paulo",SP
1013,-23.547686322234377,-46.6341397692307,"são paulo",SP
1042,-23.544667372468112,-46.64066942714524,"são paulo",SP
1050,-23.549107326677785,-46.644104604074144,"são paulo",SP
1001,-23.54929199999999,-46.633559478233785,"sao paulo",SP
1026,-23.53984025062037,-46.6302639919499,"sao paulo",SP
1043,-23.54501365751052,-46.641993024150246,"sao paulo",SP
1015,-23.544826346129778,-46.63086956396899,"sao paulo",SP
1024,-23.54186295323959,-46.63003529431536,"sao paulo",SP
1038,-23.542679676299095,-46.63819683884986,"sao paulo",SP
1016,-23.54849512877264,-46.633490627676125,"sao paulo",SP
1049,-23.54530659310986,-46.636994571065735,"sao paulo",SP
1029,-23.537313618096828,-46.63302994561133,"são paulo",SP
1021,-23.54516769470249,-46.63224867958328,"sao paulo",SP
1018,-23.550218647763327,-46.63188,"sao paulo",SP
1044,-23.54575105023373,-46.64132693574358,"sao paulo",SP
1044,-23.544896375238064,-46.64201998306312,"são paulo",SP
1014,-23.545948945322863,-46.63350149901904,"são paulo",SP
1030,-23.538363904524203,-46.63293009824575,"são paulo",SP
1019,-23.55173348265909,-46.630302710110165,"são paulo",SP
1030,-23.538399296150907,-46.632887607680814,"sao paulo",SP
1016,-23.54944327061568,-46.63234970260834,"são paulo",SP
1009,-23.546340513734236,-46.63623850320264,"são paulo",SP
1027,-23.53801519954993,-46.63194741104508,"são paulo",SP
1025,-23.539920936547933,-46.6283479287932,"sao paulo",SP
1004,-23.550115903139226,-46.63512161420169,"sao paulo",SP
1023,-23.54260295697964,-46.63094283625709,"sao paulo",SP
1036,-23.54282808353057,-46.63939930668248,"são paulo",SP
1018,-23.552143145161256,-46.63270720967747,"são paulo",SP
1007,-23.54816615573512,-46.63823833081751,"são paulo",SP
1031,-23.542520789115148,-46.63533516134283,"são paulo",SP
1028,-23.536027749379617,-46.632878533585306,"sao paulo",SP
1022,-23.544714739944567,-46.63316426588382,"são paulo",SP
1028,-23.53624171663104,-46.6320595335853,"são paulo",SP
1035,-23.541740936176268,-46.641356197760906,"são paulo",SP
1040,-23.539898074383967,-46.6366870320561,"são paulo",SP
1023,-23.54417619677996,-46.63217303372952,"são paulo",SP
1003,-23.5490832616594,-46.63486400979368,"são paulo",SP
1041,-23.54320753981771,-46.64090617831388,"são paulo",SP
1025,-23.54040852242101,-46.63149317466289,"são paulo",SP
1033,-23.54032130474925,-46.636394815973325,"são paulo",SP
1001,-23.549779299469115,-46.6339571183853,"são paulo",SP
1021,-23.544184662502165,-46.63264375243805,"são paulo",SP
1005,-23.549980033585307,-46.63476783166945,"são paulo",SP
1015,-23.54956898779498,-46.62908488080666,"são paulo",SP
1008,-23.5480135387212,-46.63709742838599,"são paulo",SP
