country,Comercio (% del PIB),Comercio de mercaderías (% del PIB),Comercio de servicios (% del PIB),"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",Personas que usan Internet (% de la población),"Población activa, total",Población urbana,Servidores de Internet seguros,year
Argentina,25.2896011376779,19.5114056862345,6.32474044596482,-15142501699.7645,74.29490687,19580710,40410674,71731,2017
Bolivia,56.7046527339133,45.6801393248895,12.0934589632339,-2173220117.97295,43.83227607,5306478,7899666,1226,2017
Brasil,24.3197343746749,18.4560963629221,5.19696796798875,19000878536.47,67.47128452,101746434,179958546,328718,2017
Chile,56.0261589675918,48.5057920392316,8.68332326113165,1879849955.37102,82.32748693,8864807,16070668,134062,2017
Colombia,35.2829149424588,26.6038244067425,7.55056882460759,-8761508927.41588,62.25988032,25528732,38896985,22640,2017
Costa Rica,65.0719537438815,45.5499043967103,20.5482195245964,393328336.587059,71.58166462,2271234,3923162,5749,2017
Ecuador,42.4217213910174,37.5201846454848,6.42923326970075,-493301197.284883,55.8,8190955,10630944,3524,2017
El Salvador,74.3046511916519,65.3824243300123,17.5392432199236,-4111467489.96742,33.8207289,2666373,4466558,393,2017
Guatemala,46.0694204013621,40.9997277265311,9.64185169484109,-6499967660,37.9,6364813,8153103,1155,2017
México,77.1157445044434,72.620807084258,5.57996737387312,-20460285386,63.85224909,53456621,98108030,23144,2017
Panamá,87.4279122931963,53.0957659394206,28.9489977778296,191735791.32,59.9506309,1854991,2759313,8835,2017
Paraguay,71.4822127212716,52.7090077589903,5.97099048679511,1599175328.34825,61.07575622,3127278,3895863,1283,2017
Perú,47.5135503619971,39.4958072730814,7.10992625316961,3995027828.50836,50.45041218,17556265,24563784,6873,2017
Puerto Rico,113.131620598072,0,0,0,68.74077314,1139330,3112035,941,2017
República Dominicana,50.2250854248266,34.8371315440921,15.2051347617793,-2049900000,67.57124533,4752184,8547288,1032,2017
Uruguay,46.8047051234567,25.4475954058825,15.4516995746891,3477944620.1946,70.3223544,1738336,3259303,3793,2017
Venezuela,0,0,0,0,61.6,13066969,26951752,8626,2017
Argentina,30.7625359549926,24.2488972103555,7.54918134774687,-9678495464.2347,77.7,20103008,40877099,83320,2018
Bolivia,57.1099646333271,47.0640530634123,11.2895090543327,-1992410887.07075,44.2861422,5663066,8058094,1478,2018
Brasil,28.8762033745466,22.1565852829062,5.56910547682349,7382267835.25499,70.43428254,102779258,181939117,426560,2018
Chile,58.1770506334403,50.5923013789337,8.73142123646159,-2932905994.96064,84.9,9053183,16375738,151206,2018
Colombia,36.5347527968973,27.8298910534496,7.66735864236073,-10556191985.8922,64.12637682,26010171,39804944,32338,2018
Costa Rica,66.945342016636,47.7153496028355,22.3689607667728,919006891.779238,73.47972844,2381451,3999318,6029,2018
Ecuador,46.3621309486896,41.6550423640288,6.67954727108073,-890012491.886996,57.5,8227052,10859572,4538,2018
El Salvador,75.6336168879956,66.7503175338238,18.3576699144452,-4758306213.15004,43.8,2668285,4520410,582,2018
Guatemala,47.011682071395,41.5502806632267,9.88469826611024,-7819058970,41.5,6525569,8345772,1286,2018
México,80.5593842287784,75.8787447306472,5.64418804911385,-24706633159,65.77263448,54505356,99404550,28487,2018
Panamá,89.9905187788583,53.1130735845395,28.8607877419936,-355139402.109999,61.80553132,1937253,2820253,8945,2018
Paraguay,72.5285860685284,55.6264775733966,6.11056176623845,479020060.586777,64.99354302,3257519,3968124,1728,2018
Perú,48.631470171736,41.0072519778892,7.25433498170474,3819124582.1156,55.05433424,18029865,25089127,8232,2018
Puerto Rico,106.001103428056,0,0,0,70.85639974,1102961,2988277,1229,2018
República Dominicana,52.0559663874181,36.0409838696141,15.581369990941,-4062700000,74.82204836,4931651,8728047,1293,2018
Uruguay,47.8253503398475,25.406479543383,15.4465749848869,3268192027.50587,80.72684288,1735162,3267136,5432,2018
Venezuela,0,0,0,0,0,12248909,26308612,7956,2018
Argentina,32.6306150458499,25.5139752105168,7.69350316387673,13390550040.8824,79.9,20607477,41339571,135647,2019
Bolivia,56.3973067329667,45.3377029711301,10.5506446230245,-1686182613.50533,47.47481911,5684739,8217386,1987,2019
Brasil,28.8902578692948,22.1157665292441,5.55390356697494,-8942437868.94501,73.91244005,104559401,183878366,578468,2019
Chile,57.5279738495935,49.7690589343001,8.97745801315895,-5068925697.80609,86.1,9208103,16686776,208732,2019
Colombia,37.558533980839,28.5327384416254,7.92926847873574,-14146153508.5545,65.00690072,26304741,40703994,39298,2019
Costa Rica,65.7605300176622,45.6970889543946,24.0931805263142,2423737659.02612,81.20259644,2495105,4071490,6614,2019
Ecuador,46.0768211909258,41.5260630690183,6.92774953583672,229951561.634845,59.2,8387366,11097565,5448,2019
El Salvador,76.0420130991468,65.127446231819,19.7941419474511,-4411887021.63997,50.49119319,2728398,4568607,608,2019
Guatemala,45.5178479962985,40.2446941848157,9.48576463527402,-7928956720,44.40104984,6690127,8540945,1559,2019
México,77.8973469505672,73.1058626700775,5.62141585729663,-2734635362,70.06991047,55827457,100623628,34635,2019
Panamá,84.982374552881,48.9815539140457,28.848253041753,1023181965.96,63.62841477,2025085,2880619,8039,2019
Paraguay,71.3276553050973,54.0852129570442,6.35606245099784,125989344.643055,68.51762842,3336159,4040715,2454,2019
Perú,46.9435053754409,38.8606525071393,7.60864408257562,2898188474.76938,59.95050106,18527166,25635888,12505,2019
