,review_comment_message,review_creation_year,review_score,review_type
3,Recebi bem antes do prazo estipulado.,2017,5,positive
4,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,2018,5,positive
9,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,2018,4,positive
12,"Mas um pouco ,travando...pelo valor ta Boa.
",2018,4,positive
15,"Vendedor confiável, produto ok e entrega antes do prazo.",2018,5,positive
16,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",2018,2,negative
19,Péssimo,2018,1,negative
22,Loja nota 10,2018,5,positive
24,obrigado pela atençao amim dispensada,2017,5,positive
27,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",2018,5,positive
28,relógio muito bonito e barato.,2018,5,positive
29,Não gostei ! Comprei gato por lebre,2017,1,negative
32,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",2018,1,negative
34,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",2018,4,positive
36,"Recomendo ,",2018,5,positive
37,muito boa ,2018,5,positive
38,"Tô completamente apaixonada, loja super responsável e confiável!",2018,5,positive
39,Nada de chegar o meu pedido.,2017,1,negative
43,Muito bom. muito cheiroso.,2018,5,positive
47,"otimo vendedor chegou ate antes do prazo , adorei o produto",2017,5,positive
49,Processo de compra tranquilo e eficiente.,2018,5,positive
50,Tomara q dure pois é de pelinho.,2017,5,positive
51,"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",2018,1,negative
55,boa,2017,5,positive
59,MT lindo,2018,5,positive
61,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",2017,5,positive
62,"Amei achei lindo ,muito delicado adorei",2018,5,positive
64,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",2018,4,positive
67,Recomendo o vendedor... ,2018,5,positive
68,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ",2016,1,negative
69,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",2017,5,positive
73,Eu comprei duas unidades e só recebi uma e agora o que faço?,2017,3,neutral
75,"Produto bom, porém o que veio para mim não condiz com a foto do anúncio.",2018,3,neutral
76,"Produto muito inferior, mal acabado.",2018,1,negative
79,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,2018,5,positive
80,Maravilha ,2017,5,positive
87,Entrega no prazo,2017,3,neutral
88,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,2018,5,positive
89,Pedi reembolso e sem resposta até momento ,2018,1,negative
90,Super rápido.,2018,5,positive
100,"Satisfeito
",2017,5,positive
103,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",2017,5,positive
108,OK RECOMENDO,2018,5,positive
110,"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.",2018,3,neutral
111,"Produto de muito boa qualidade, chegou antes do prazo prometido",2017,5,positive
115,"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",2018,1,negative
116,"Entrega muito rápida
Parabéns",2017,5,positive
119,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,2017,1,negative
121,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",2017,4,positive
127,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",2018,5,positive
128,Demorou de mais pra entrega ,2017,2,negative
130,super rapido a entrega .... chegou antes da data... ,2017,5,positive
131,A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. ,2018,3,neutral
132,Não funciona não faz sincronismo,2017,1,negative
133,Recomendo a todos os clientes,2016,5,positive
135,Gostei ,2017,3,neutral
142,OTIMA,2018,5,positive
143,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",2017,5,positive
145,"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",2017,1,negative
149,EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,2018,1,negative
150,"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",2018,1,negative
151,Sempre compro na lannister.Pra mim é a melhor loja on-line,2018,5,positive
152,Produto de qualidade excelente,2017,5,positive
159,Ótimo custo-benefício,2017,5,positive
160,OK,2017,5,positive
163,Gostei da atenção com a entrega,2018,5,positive
166," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",2018,4,positive
167,A peça não serviu,2018,1,negative
168,Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,2018,1,negative
169,"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",2017,1,negative
170,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",2018,5,positive
174,"Entregou no prazo certo, fiquei feliz com a compra que fiz",2017,5,positive
178,Lindo relógio adorei,2017,5,positive
180,"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister.",2018,3,neutral
185,Muito bom alta qualidade!,2018,5,positive
188,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",2018,5,positive
189,Muito bom,2018,5,positive
190,Faltou 1 produto e os que recebi 1 veio quebrado,2018,1,negative
191,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",2018,5,positive
197,aqui está descrevendo como entregue só que ate agora não recebi,2018,1,negative
198,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",2016,5,positive
199,Ainda não tive a oportunidade de testar,2017,5,positive
201,Comecei a usar agora ,2018,3,neutral
204,nada a declarar,2017,5,positive
207,"Comprar um produto correto na capa mas interno ser outro.???????
",2018,3,neutral
210,entrega super rapida,2017,3,neutral
212,"Fiz um pedido de 4 garrafas de azeite.Chegaram 2 num dia e as outras 2 quase 48 horas depois.Contato com a loja muito dificil,tanto via e-mail qto por telef.O suspense terminou mas lá não compro mais",2018,3,neutral
213,O produto chegou muito rapido e de boa qualidade recomendo o produto,2018,5,positive
221,"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",2017,1,negative
223,Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,2017,1,negative
227,Não recomendaria esta loja nem pretendo voltar a comprar nela.A mercadoria foi entregue após o prazo e quase 1 mês após a compra. No site das lannister costumam chegar antes do prazo. Estranhei muito,2018,3,neutral
228,Recomendo,2018,5,positive
229,Atendeu minha expectativa.,2018,4,positive
230,Entrega antes do prazo. Produto muito prático e de fácil manuseio. ,2017,5,positive
235,"otimo produto só nao veio manual, mas sem problemas.",2018,5,positive
236,"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok.",2018,4,positive
237,Excelente produto.,2018,5,positive
238,Tudo certo,2017,5,positive
