país Name,país Code,serie Name,serie Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Colombia,COL,Personas que usan Internet (% de la población),IT.NET.USER.ZS,62.25988032,64.12637682,65.00690072,69.79,..
Colombia,COL,Servidores de Internet seguros,IT.NET.SECR,22640,32338,39298,20646,..
Colombia,COL,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,26.6038244067425,27.8298910534496,28.5327384416254,27.5608598413707,32.2415143709031
Colombia,COL,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,7.55056882460759,7.66735864236073,7.92926847873574,5.93717866942667,7.05263905638198
Colombia,COL,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,-8761508927.41588,-10556191985.8922,-14146153508.5545,-13088650574.1895,-20047321018.7257
Colombia,COL,Comercio (% del PIB),NE.TRD.GNFS.ZS,35.2829149424588,36.5347527968973,37.558533980839,33.9042313203213,40.8511859248148
Colombia,COL,"Población activa, total",SL.TLF.TOTL.IN,25528732,26010171,26304741,24932942,26137054
Colombia,COL,Población urbana,SP.URB.TOTL,38896985,39804944,40703994,41470292,42109638
Panamá,PAN,Personas que usan Internet (% de la población),IT.NET.USER.ZS,59.9506309,61.80553132,63.62841477,64.25,..
Panamá,PAN,Servidores de Internet seguros,IT.NET.SECR,8835,8945,8039,6371,..
Panamá,PAN,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,53.0957659394206,53.1130735845395,48.9815539140457,44.8765214813717,53.0727881883685
Panamá,PAN,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,28.9489977778296,28.8607877419936,28.848253041753,21.5613184350029,23.5952629992406
Panamá,PAN,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,191735791.32,-355139402.109999,1023181965.96,2677199307.5885,2610178255.05
Panamá,PAN,Comercio (% del PIB),NE.TRD.GNFS.ZS,87.4279122931963,89.9905187788583,84.982374552881,74.0772366007744,92.6980933918821
Panamá,PAN,"Población activa, total",SL.TLF.TOTL.IN,1854991,1937253,2025085,1823540,1966360
Panamá,PAN,Población urbana,SP.URB.TOTL,2759313,2820253,2880619,2937968,2992584
Puerto Rico,PRI,Personas que usan Internet (% de la población),IT.NET.USER.ZS,68.74077314,70.85639974,77.73643937,..,..
Puerto Rico,PRI,Servidores de Internet seguros,IT.NET.SECR,941,1229,1347,1460,..
Puerto Rico,PRI,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,..,..,..,..,..
Puerto Rico,PRI,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,..,..,..,..,..
Puerto Rico,PRI,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,..,..,..,..,..
Puerto Rico,PRI,Comercio (% del PIB),NE.TRD.GNFS.ZS,113.131620598072,106.001103428056,107.592859643249,103.616762909834,96.6716013131104
Puerto Rico,PRI,"Población activa, total",SL.TLF.TOTL.IN,1139330,1102961,1107790,1084139,1136398
Puerto Rico,PRI,Población urbana,SP.URB.TOTL,3112035,2988277,2988531,3070896,3054454
Argentina,ARG,Personas que usan Internet (% de la población),IT.NET.USER.ZS,74.29490687,77.7,79.9,85.5,87.14829302
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,71731,83320,135647,167248,..
Argentina,ARG,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,19.5114056862345,24.2488972103555,25.5139752105168,25.2212334248001,28.9638919400339
Argentina,ARG,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,6.32474044596482,7.54918134774687,7.69350316387673,5.57910473210007,4.6178609854266
Argentina,ARG,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,-15142501699.7645,-9678495464.2347,13390550040.8824,12092401048.1974,15052826488.507
Argentina,ARG,Comercio (% del PIB),NE.TRD.GNFS.ZS,25.2896011376779,30.7625359549926,32.6306150458499,30.2197998857878,32.97948188967
Argentina,ARG,"Población activa, total",SL.TLF.TOTL.IN,19580710,20103008,20607477,19406591,21206029
Argentina,ARG,Población urbana,SP.URB.TOTL,40410674,40877099,41339571,41796990,42248949
Costa Rica,CRI,Personas que usan Internet (% de la población),IT.NET.USER.ZS,71.58166462,73.47972844,81.20259644,80.53018608,82.74901607
Costa Rica,CRI,Servidores de Internet seguros,IT.NET.SECR,5749,6029,6614,6722,..
Costa Rica,CRI,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,45.5499043967103,47.7153496028355,45.6970889543946,43.8575871499209,56.3482045038561
Costa Rica,CRI,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,20.5482195245964,22.3689607667728,24.0931805263142,19.3165983508554,21.1031452283016
Costa Rica,CRI,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,393328336.587059,919006891.779238,2423737659.02612,2294286461.15425,1462743000.71126
Costa Rica,CRI,Comercio (% del PIB),NE.TRD.GNFS.ZS,65.0719537438815,66.945342016636,65.7605300176622,60.1050719309166,70.6061336215437
Costa Rica,CRI,"Población activa, total",SL.TLF.TOTL.IN,2271234,2381451,2495105,2379542,2426145
Costa Rica,CRI,Población urbana,SP.URB.TOTL,3923162,3999318,4071490,4137983,4196609
México,MEX,Personas que usan Internet (% de la población),IT.NET.USER.ZS,63.85224909,65.77263448,70.06991047,71.96819405,71.96819405
México,MEX,Servidores de Internet seguros,IT.NET.SECR,23144,28487,34635,41615,..
México,MEX,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,72.620807084258,75.8787447306472,73.1058626700775,74.3179791516955,79.9173919859914
México,MEX,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,5.57996737387312,5.64418804911385,5.62141585729663,4.15666964107825,5.17680936672124
México,MEX,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,-20460285386,-24706633159,-2734635362,22907677376,-22516226831
México,MEX,Comercio (% del PIB),NE.TRD.GNFS.ZS,77.1157445044434,80.5593842287784,77.8973469505672,76.9003537108958,83.6152716218668
México,MEX,"Población activa, total",SL.TLF.TOTL.IN,53456621,54505356,55827457,52220676,56132488
México,MEX,Población urbana,SP.URB.TOTL,98108030,99404550,100623628,101719689,102651435
Paraguay,PRY,Personas que usan Internet (% de la población),IT.NET.USER.ZS,61.07575622,64.99354302,68.51762842,73.95751114,77.01838621
Paraguay,PRY,Servidores de Internet seguros,IT.NET.SECR,1283,1728,2454,3391,..
Paraguay,PRY,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,52.7090077589903,55.6264775733966,54.0852129570442,52.8756656278613,61.0374391142519
Paraguay,PRY,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,5.97099048679511,6.11056176623845,6.35606245099784,4.47723571323192,4.74860044193375
Paraguay,PRY,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,1599175328.34825,479020060.586777,125989344.643055,1333686928.75003,700271606.749922
