customerLat,customerLong,intensity
-36.6053744107061,-64.28394645581311,11
-34.586422110664884,-58.732100610901725,1
-33.69142291584818,-53.48016130071187,5
-33.525600570674555,-53.366420074758125,12
-32.56395159879733,-53.38472029207671,8
-32.23127877889086,-53.083934586255104,3
-32.205217165051806,-52.18304214576772,1
-32.204285231363016,-52.17945779216544,2
-32.18884624958893,-52.16495031785904,4
-32.18810994930214,-52.16849032961152,2
-32.18183859342639,-52.16558527879533,3
-32.17180652234449,-52.16630677830477,4
-32.167247769274,-52.18343651210432,5
-32.10985414775633,-52.1712025231468,4
-32.09689312405125,-52.17768712456428,6
-32.0795133795473,-52.15767795961282,4
-32.078338859139464,-52.17979647950831,4
-32.07492017908405,-52.255627496826506,2
-32.06167451342092,-52.16588860914919,1
-32.05802756482065,-52.14196550262986,12
-32.046351104875974,-52.131604799924105,6
-32.04232063459594,-52.12953397213267,25
-32.032076778660375,-52.103793550113096,24
-32.03109521608358,-53.39189123015052,1
-32.03094717184131,-52.08162508196311,12
-31.863368020453382,-52.82031132035461,3
-31.85235366363681,-52.816389108312585,1
-31.77452642353856,-52.33668313682272,26
-31.77338257617298,-52.324852395089145,7
-31.77241286955392,-52.34399183819032,20
-31.77158639993657,-52.31383959048413,1
-31.76856507410672,-52.36008633681014,1
-31.767831461278803,-52.34106915266308,25
-31.761505561746255,-52.23305115889549,7
-31.759626173754903,-52.36515273411618,11
-31.75881207744239,-52.325715828351214,4
-31.75835629447746,-52.27031137898898,6
-31.756998494341783,-51.60156420031753,7
-31.752725605603345,-52.37692831779098,10
-31.75262449177539,-52.430731836425856,4
-31.7485434343586,-52.39092172064175,1
-31.744230956979628,-52.32876086398534,8
-31.74406768275678,-52.294588438000126,14
-31.74287758312654,-52.394740863581305,3
-31.739274041635383,-52.3380757009349,4
-31.735528166253083,-52.31964031112587,2
-31.735485725716536,-52.21494118918343,1
-31.735158481345625,-53.5800773191822,1
-31.727025292544223,-52.308651016388616,4
-31.717691664723876,-52.34280772577763,20
-31.700616047010367,-52.32082066955027,2
-31.696598999999942,-54.16378549999996,2
-31.69656034346417,-52.34306597570368,6
-31.63880715441437,-52.41553423919472,1
-31.595352263140708,-52.623823838923705,1
-31.579070881317342,-53.388468581409136,5
-31.45772380559633,-53.66263312223996,4
-31.44167689708765,-53.09763805425061,1
-31.3877973542677,-52.683643999668526,12
-31.3666332819698,-51.977665473716826,14
-31.363005828719945,-54.084159397926655,1
-31.339753621824745,-54.125660069716666,1
-31.328497375345503,-54.06035599565912,7
-31.328237885510863,-53.97989163710521,1
-31.326536600772723,-54.11837385390225,3
-31.32637009278509,-54.08931492238784,7
-31.32151917200534,-54.10078389798132,27
-31.31213884246524,-54.11482657142898,2
-31.31124851159016,-54.09360649811303,6
-31.30802343854719,-54.12340168750899,1
